date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:49	44/44	---MCZ	200	added ('OK')	text/plain	etag:W/%225ce7feea-18%22	https://solar-digital.com/robots.txt		(from )
14:42:49	123001/123001	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:47%20GMT	https://solar-digital.com/	C:/My%20Web%20Sites/halo/solar-digital.com/index.html	(from )
14:42:49	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2004%20Nov%202019%2009:12:48%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/halo/www.googletagmanager.com/gtm.05445.delayed	(from https://solar-digital.com/)
14:42:50	1573/1573	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-625%22	https://solar-digital.com/images/favicons/apple-icon-57x57.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/apple-icon-57x57.png	(from https://solar-digital.com/)
14:42:50	1716/1716	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-6b4%22	https://solar-digital.com/images/favicons/apple-icon-60x60.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/apple-icon-60x60.png	(from https://solar-digital.com/)
14:42:51	1855/1855	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-73f%22	https://solar-digital.com/images/favicons/apple-icon-72x72.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/apple-icon-72x72.png	(from https://solar-digital.com/)
14:42:51	1878/1878	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-756%22	https://solar-digital.com/images/favicons/apple-icon-76x76.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/apple-icon-76x76.png	(from https://solar-digital.com/)
14:42:51	208472/208472	---M--	200	added ('OK')	image/jpeg	etag:%225c0aa9b1-32e58%22	https://solar-digital.com/images/page/1/ogp/home.jpeg	C:/My%20Web%20Sites/halo/solar-digital.com/images/page/1/ogp/home.jpg	(from https://solar-digital.com/)
14:42:51	1230/1230	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-4ce%22	https://solar-digital.com/images/favicons/favicon-32x32.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/favicon-32x32.png	(from https://solar-digital.com/)
14:42:51	2111/2111	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-83f%22	https://solar-digital.com/images/favicons/favicon-96x96.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/favicon-96x96.png	(from https://solar-digital.com/)
14:42:52	932/932	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-3a4%22	https://solar-digital.com/images/favicons/favicon-16x16.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/favicon-16x16.png	(from https://solar-digital.com/)
14:42:52	3072/3072	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-c00%22	https://solar-digital.com/images/favicons/apple-icon-114x114.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/apple-icon-114x114.png	(from https://solar-digital.com/)
14:42:52	3214/3214	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-c8e%22	https://solar-digital.com/images/favicons/apple-icon-120x120.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/apple-icon-120x120.png	(from https://solar-digital.com/)
14:42:53	4194/4194	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-1062%22	https://solar-digital.com/images/favicons/apple-icon-144x144.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/apple-icon-144x144.png	(from https://solar-digital.com/)
14:42:53	4559/4559	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-11cf%22	https://solar-digital.com/images/favicons/apple-icon-152x152.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/apple-icon-152x152.png	(from https://solar-digital.com/)
14:42:53	5631/5631	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-15ff%22	https://solar-digital.com/images/favicons/apple-icon-180x180.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/apple-icon-180x180.png	(from https://solar-digital.com/)
14:42:53	4594/4594	---M--	200	added ('OK')	image/png	etag:%225cd2dbda-11f2%22	https://solar-digital.com/images/favicons/android-icon-192x192.png	C:/My%20Web%20Sites/halo/solar-digital.com/images/favicons/android-icon-192x192.png	(from https://solar-digital.com/)
14:42:53	876/876	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225cd2dbda-36c%22	https://solar-digital.com/images/logo-red.svg	C:/My%20Web%20Sites/halo/solar-digital.com/images/logo-red.svg	(from https://solar-digital.com/)
14:42:54	469/469	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225cd2dbda-1d5%22	https://solar-digital.com/images/logo-black.svg	C:/My%20Web%20Sites/halo/solar-digital.com/images/logo-black.svg	(from https://solar-digital.com/)
14:42:54	107250/107250	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:53%20GMT	https://solar-digital.com/best-cases	C:/My%20Web%20Sites/halo/solar-digital.com/best-cases.html	(from https://solar-digital.com/)
14:42:55	119784/119784	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:53%20GMT	https://solar-digital.com/about	C:/My%20Web%20Sites/halo/solar-digital.com/about.html	(from https://solar-digital.com/)
14:42:55	111046/111046	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:54%20GMT	https://solar-digital.com/portfolio/stark-research	C:/My%20Web%20Sites/halo/solar-digital.com/portfolio/stark-research.html	(from https://solar-digital.com/)
14:42:56	110435/110435	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:55%20GMT	https://solar-digital.com/portfolio/look-good	C:/My%20Web%20Sites/halo/solar-digital.com/portfolio/look-good.html	(from https://solar-digital.com/)
14:42:56	135869/135869	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:55%20GMT	https://solar-digital.com/portfolio/sailica-mvp-development	C:/My%20Web%20Sites/halo/solar-digital.com/portfolio/sailica-mvp-development.html	(from https://solar-digital.com/)
14:42:57	108191/108191	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:56%20GMT	https://solar-digital.com/portfolio/cinq-ios	C:/My%20Web%20Sites/halo/solar-digital.com/portfolio/cinq-ios.html	(from https://solar-digital.com/)
14:42:58	105000/105000	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:56%20GMT	https://solar-digital.com/portfolio/firusas-branding	C:/My%20Web%20Sites/halo/solar-digital.com/portfolio/firusas-branding.html	(from https://solar-digital.com/)
14:42:58	108154/108154	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:57%20GMT	https://solar-digital.com/portfolio/indigem	C:/My%20Web%20Sites/halo/solar-digital.com/portfolio/indigem.html	(from https://solar-digital.com/)
14:42:59	111443/111443	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:58%20GMT	https://solar-digital.com/portfolio/firusas	C:/My%20Web%20Sites/halo/solar-digital.com/portfolio/firusas.html	(from https://solar-digital.com/)
14:43:00	269773/269773	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:58%20GMT	https://solar-digital.com/portfolio/buddhapizza	C:/My%20Web%20Sites/halo/solar-digital.com/portfolio/buddhapizza.html	(from https://solar-digital.com/)
14:43:00	140123/140123	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:58%20GMT	https://solar-digital.com/portfolio	C:/My%20Web%20Sites/halo/solar-digital.com/portfolio.html	(from https://solar-digital.com/)
14:43:00	70358/70358	---M--	200	added ('OK')	image/jpeg	etag:%225ce56201-112d6%22	https://solar-digital.com/files/showreel.jpg?1558536705	C:/My%20Web%20Sites/halo/solar-digital.com/files/showreel44cd.jpg	(from https://solar-digital.com/)
14:43:00	122554/122554	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:12:59%20GMT	https://solar-digital.com/blog/why-branding-is-important-for-the-travel-businesses	C:/My%20Web%20Sites/halo/solar-digital.com/blog/why-branding-is-important-for-the-travel-businesses.html	(from https://solar-digital.com/)
14:43:01	116243/116243	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:13:00%20GMT	https://solar-digital.com/blog/startups	C:/My%20Web%20Sites/halo/solar-digital.com/blog/startups.html	(from https://solar-digital.com/)
14:43:02	119442/119442	---MCZ	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:13:00%20GMT	https://solar-digital.com/blog/models-of-cooperation-in-the-it-business	C:/My%20Web%20Sites/halo/solar-digital.com/blog/models-of-cooperation-in-the-it-business.html	(from https://solar-digital.com/)
