date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:47:55	22276/22276	---MC-	200	added ('OK')	text/html	date:Mon,%2004%20Nov%202019%2009:17:53%20GMT	https://halo.cool/en/work	C:/My%20Web%20Sites/solar/halo.cool/en/work.html	(from )
14:47:55	8644/8644	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Nov%202019%2009:17:54%20GMT	https://halo.cool/robots.txt		(from )
14:47:56	1803/1803	---M--	200	added ('OK')	image/png	etag:%2270b-58e7cdf7aa900%22	https://halo.cool/favicon/apple-icon-57x57.png	C:/My%20Web%20Sites/solar/halo.cool/favicon/apple-icon-57x57.png	(from https://halo.cool/en/work)
14:47:56	94661/94661	---M--	200	added ('OK')	text/css	etag:%22171c5-590b0589ecfc0%22	https://halo.cool/bundles/halo/css/app.css	C:/My%20Web%20Sites/solar/halo.cool/bundles/halo/css/app.css	(from https://halo.cool/en/work)
14:47:56	1916/1916	---M--	200	added ('OK')	image/png	etag:%2277c-58e7cdf7aa900%22	https://halo.cool/favicon/apple-icon-60x60.png	C:/My%20Web%20Sites/solar/halo.cool/favicon/apple-icon-60x60.png	(from https://halo.cool/en/work)
14:47:56	2125/2125	---M--	200	added ('OK')	image/png	etag:%2284d-58e7cdf7aa900%22	https://halo.cool/favicon/apple-icon-72x72.png	C:/My%20Web%20Sites/solar/halo.cool/favicon/apple-icon-72x72.png	(from https://halo.cool/en/work)
14:47:57	2207/2207	---M--	200	added ('OK')	image/png	etag:%2289f-58e7cdf89eb40%22	https://halo.cool/favicon/apple-icon-76x76.png	C:/My%20Web%20Sites/solar/halo.cool/favicon/apple-icon-76x76.png	(from https://halo.cool/en/work)
14:47:57	3431/3431	---M--	200	added ('OK')	image/png	etag:%22d67-58e7cdf89eb40%22	https://halo.cool/favicon/apple-icon-114x114.png	C:/My%20Web%20Sites/solar/halo.cool/favicon/apple-icon-114x114.png	(from https://halo.cool/en/work)
14:47:57	5025/5025	---M--	200	added ('OK')	image/png	etag:%2213a1-58e7cdf89eb40%22	https://halo.cool/favicon/apple-icon-120x120.png	C:/My%20Web%20Sites/solar/halo.cool/favicon/apple-icon-120x120.png	(from https://halo.cool/en/work)
14:47:57	6240/6240	---M--	200	added ('OK')	image/png	etag:%221860-58e7cdf89eb40%22	https://halo.cool/favicon/apple-icon-144x144.png	C:/My%20Web%20Sites/solar/halo.cool/favicon/apple-icon-144x144.png	(from https://halo.cool/en/work)
